"","vars","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"1","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.666666666666667,0.785714285714286,0.727272727272727,0.733333333333333,0.727272727272727,0.666666666666667,0.695652173913043,0.461538461538462,0.307692307692308,0.423076923076923,0.726190476190476
"2","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.5,0.785714285714286,0.666666666666667,0.647058823529412,0.666666666666667,0.5,0.571428571428572,0.461538461538462,0.230769230769231,0.346153846153846,0.642857142857143
"3","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.666666666666667,0.642857142857143,0.615384615384615,0.692307692307692,0.615384615384615,0.666666666666667,0.64,0.461538461538462,0.307692307692308,0.5,0.654761904761905
"4","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.666666666666667,0.714285714285714,0.666666666666667,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.461538461538462,0.307692307692308,0.461538461538462,0.69047619047619
"5","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.5,0.714285714285714,0.6,0.625,0.6,0.5,0.545454545454545,0.461538461538462,0.230769230769231,0.384615384615385,0.607142857142857
"6","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.75,0.714285714285714,0.692307692307692,0.769230769230769,0.692307692307692,0.75,0.72,0.461538461538462,0.346153846153846,0.5,0.732142857142857
"7","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.75,0.785714285714286,0.75,0.785714285714286,0.75,0.75,0.75,0.461538461538462,0.346153846153846,0.461538461538462,0.767857142857143
"8","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.75,0.785714285714286,0.75,0.785714285714286,0.75,0.75,0.75,0.461538461538462,0.346153846153846,0.461538461538462,0.767857142857143
"9","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.75,0.928571428571429,0.9,0.8125,0.9,0.75,0.818181818181818,0.461538461538462,0.346153846153846,0.384615384615385,0.839285714285714
"10","acetate_121 Alanine_128 Arginine_122 glutamate_111 Glutamine_115 phenylalanine_11 unknown_130 unknown_30 Unknown_54",0.916666666666667,0.857142857142857,0.846153846153846,0.923076923076923,0.846153846153846,0.916666666666667,0.88,0.461538461538462,0.423076923076923,0.5,0.886904761904762
