"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Metabolite","Comparison"
"HCG",-4.29150729904488,10.6218743531673,-9.42541989697903,3.11632177813439e-18,3.24097464925977e-16,30.6976327922228,"HCG","Miscarriage_LNSP"
"Glutamine_115",0.0869795045726747,15.9690037052756,5.74866674269373,2.62428290796485e-08,1.36462711214172e-06,8.29722464255221,"Glutamine_115","Miscarriage_LNSP"
"Progesterone",-1.16021543266481,4.31863645628923,-3.56498465051263,0.000436215335309299,0.0151221316240557,-0.999829459079734,"Progesterone","Miscarriage_LNSP"
"phenylalanine_11",-0.0730626776617456,13.3518025227559,-3.17734853852216,0.00167425799764431,0.0425032090061465,-2.24701056217762,"phenylalanine_11","Miscarriage_LNSP"
"Arginine_122",0.0570780212907334,14.9178270007087,3.11674005147566,0.00204342350991089,0.0425032090061465,-2.43010689888025,"Arginine_122","Miscarriage_LNSP"
"Alanine_128",0.0817449144342746,17.0940981604724,3.044668581859,0.00257964162934501,0.0428097544582631,-2.64358554832971,"Alanine_128","Miscarriage_LNSP"
"unknown_31",-0.0732390909616623,15.0432867624803,-2.98942930953391,0.00307517711723827,0.0428097544582631,-2.80406864412745,"unknown_31","Miscarriage_LNSP"
"X2_hydroxybutyrate_146",-0.0529810615829867,16.9481218677953,-2.93757364184615,0.00361837217855694,0.0428097544582631,-2.95223287413268,"X2_hydroxybutyrate_146","Miscarriage_LNSP"
"Unknown_54",-0.0450383642302157,15.8231508346063,-2.92999873543494,0.00370469028965738,0.0428097544582631,-2.97367392793474,"Unknown_54","Miscarriage_LNSP"
"HCG1",-3.83605726598999,10.6218743531673,-7.3622914046875,2.64011226596566e-12,2.74571675660429e-10,17.4271174462313,"HCG","tEP_LNSP"
"acetate_121",0.154297719473284,15.843809216378,4.1147397231224,5.27384579626455e-05,0.00274239981405757,1.20518747092255,"acetate_121","tEP_LNSP"
"Glutamine_1151",0.0691899580320197,15.9690037052756,3.9960447242173,8.49036587129478e-05,0.00294332683538219,0.756317937549428,"Glutamine_115","tEP_LNSP"
"HCG2",-6.94129491914169,10.6218743531673,-12.4206234693347,6.99455915372432e-28,7.27434151987329e-26,52.544815705852,"HCG","PUL_LNSP"
"Glutamine_1152",0.126981474320246,15.9690037052756,6.83758308165988,6.19754336686358e-11,3.22272255076906e-09,13.9688087495688,"Glutamine_115","PUL_LNSP"
"Progesterone1",-2.17373815573036,4.31863645628923,-5.44174645507943,1.26254448650089e-07,4.37682088653642e-06,6.53498288322835,"Progesterone","PUL_LNSP"
"Alanine_1281",0.16224797328514,17.0940981604724,4.92346223174569,1.55011452343097e-06,4.03029776092051e-05,4.11017656427949,"Alanine_128","PUL_LNSP"
"unknown_311",-0.116051340777197,15.0432867624803,-3.85929123744133,0.000144976539117354,0.00301551201364096,-0.224894395601542,"unknown_31","PUL_LNSP"
"creatinine_38",0.171724094123626,16.0771859835433,3.67722766102581,0.000288911914229257,0.00500780651330712,-0.874272171969576,"creatinine_38","PUL_LNSP"
"Unknown_52",-0.0849869925700517,17.5124202782283,-3.30494251015456,0.00108990628102867,0.0148745640953597,-2.11385516964883,"Unknown_52","PUL_LNSP"
"Unknown_27",0.23305353218495,14.4251071428346,3.26036869908885,0.00126815488715783,0.0148745640953597,-2.25418895042776,"Unknown_27","PUL_LNSP"
"proline_107",-0.177152220941847,14.7803339715354,-3.25595128069895,0.00128722189286767,0.0148745640953597,-2.26800131283494,"proline_107","PUL_LNSP"
"proline_110",-0.151790798349007,15.3407850711024,-3.15063131458232,0.00182864653251782,0.0190179239381853,-2.59221087278974,"proline_110","PUL_LNSP"
"unknown_32",-0.121906976262872,15.8119668874803,-3.05387257111106,0.00250460081791353,0.0236798622784552,-2.88138525468065,"unknown_32","PUL_LNSP"
"X2_hydroxyisovalerate_148",0.348324060236315,18.6497711244882,3.0119493272952,0.00286346141768624,0.0248166656199474,-3.00408062852132,"X2_hydroxyisovalerate_148","PUL_LNSP"
"unknown_30",-0.126910247113202,14.6197736619685,-2.94970235772728,0.0034839871759341,0.0278718974074728,-3.18334627346233,"unknown_30","PUL_LNSP"
"unknown_120",0.0599506132925391,15.5052443011417,2.91650344809545,0.00386315308633492,0.0286977086413451,-3.27752918307241,"unknown_120","PUL_LNSP"
"unknown_29",-0.138753818480259,14.9337848823228,-2.87094699122058,0.00444491834971699,0.0308181005580378,-3.40514852223952,"unknown_29","PUL_LNSP"
"LDL_150",-0.111903734285697,18.9903207814173,-2.82907922349084,0.00504888294232593,0.0328177391251185,-3.52077618738018,"LDL_150","PUL_LNSP"
"unknown_99",-0.0852220616293593,16.523608543189,-2.75561485436156,0.00629157647128522,0.0384896442949213,-3.71981237832661,"unknown_99","PUL_LNSP"
"tyrosine_20",0.136033441404681,13.0573326608661,2.73010160454024,0.00678410637271015,0.0391970590423253,-3.78778319740744,"tyrosine_20","PUL_LNSP"
"X2_hydroxybutyrate_1461",-0.0592154300311698,16.9481218677953,-2.67494614227956,0.00796991068448871,0.0436247742729908,-3.93268842755123,"X2_hydroxybutyrate_146","PUL_LNSP"
